resale_price,lease_remain_years,bhk,floor,address_encoded_numeric
318000.0,61,3,8.0,20
320000.0,54,3,8.0,20
322000.0,61,3,2.0,20
330000.0,59,3,5.0,20
335000.0,60,3,11.0,20
340000.0,59,3,2.0,20
362888.0,60,4,8.0,20
368000.0,63,4,14.0,20
370000.0,60,4,2.0,20
370000.0,74,4,2.0,20
371000.0,63,4,8.0,20
378000.0,62,4,5.0,20
378000.0,61,4,11.0,20
380000.0,61,4,2.0,20
390000.0,75,4,5.0,20
398000.0,68,4,5.0,20
400000.0,60,4,8.0,20
402888.0,74,4,2.0,20
405000.0,59,4,5.0,20
405000.0,66,4,5.0,20
406000.0,63,4,8.0,20
415000.0,68,4,8.0,20
418000.0,74,4,11.0,20
421000.0,63,4,8.0,20
425000.0,63,4,8.0,20
428000.0,60,4,8.0,20
430000.0,68,4,5.0,20
445000.0,68,4,5.0,20
445000.0,66,4,2.0,20
530000.0,68,4,8.0,20
425000.0,65,5,8.0,20
478000.0,75,5,5.0,20
493000.0,75,5,2.0,20
522000.0,73,5,11.0,20
528000.0,74,5,8.0,20
600000.0,68,5,5.0,20
640888.0,73,5,8.0,20
270000.0,53,3,2.0,20
275000.0,61,3,2.0,20
280000.0,59,3,2.0,20
295000.0,59,3,11.0,20
300500.0,57,3,5.0,20
306000.0,59,3,5.0,20
316000.0,58,3,5.0,20
320000.0,58,3,2.0,20
360000.0,58,3,8.0,20
370000.0,58,3,8.0,20
380000.0,59,3,14.0,20
390000.0,59,3,2.0,20
342000.0,59,4,2.0,20
382000.0,79,4,17.0,20
410000.0,58,4,8.0,20
415000.0,57,4,5.0,20
445888.0,58,4,2.0,20
448000.0,60,4,5.0,20
500000.0,74,4,5.0,20
525000.0,75,4,17.0,20
390000.0,55,5,8.0,20
520000.0,58,5,5.0,20
580888.0,74,5,11.0,20
585000.0,75,5,14.0,20
625000.0,75,5,20.0,20
248000.0,51,3,11.0,3
255000.0,51,3,14.0,2
255000.0,53,3,2.0,7
258000.0,51,3,5.0,3
260000.0,62,3,2.0,20
275000.0,48,3,8.0,20
280000.0,50,3,8.0,20
280000.0,61,3,2.0,20
283000.0,60,3,5.0,20
290000.0,62,3,2.0,20
293000.0,61,3,2.0,20
300000.0,61,3,2.0,20
300000.0,64,3,2.0,20
300000.0,64,3,5.0,20
305000.0,64,3,8.0,20
313000.0,64,3,8.0,20
315000.0,60,3,8.0,20
320000.0,60,3,8.0,20
330000.0,88,3,5.0,20
330000.0,86,3,20.0,20
330000.0,78,4,2.0,20
333000.0,77,4,2.0,20
333000.0,78,4,2.0,20
340000.0,69,4,5.0,20
343000.0,61,4,8.0,20
349000.0,61,4,2.0,20
352000.0,61,4,5.0,20
352000.0,66,4,5.0,20
352000.0,72,4,5.0,20
360000.0,66,4,8.0,20
365000.0,78,4,2.0,20
365000.0,69,4,8.0,20
366000.0,67,4,8.0,20
366800.0,65,4,8.0,20
370000.0,60,4,2.0,20
370000.0,61,4,5.0,20
370000.0,72,4,11.0,20
370000.0,86,4,2.0,20
373000.0,60,4,5.0,20
375000.0,60,4,5.0,20
375000.0,78,4,8.0,20
375000.0,72,4,11.0,20
376000.0,60,4,5.0,20
380000.0,76,4,14.0,20
380000.0,72,4,5.0,20
400000.0,84,4,14.0,20
410000.0,77,4,5.0,20
413999.0,77,4,14.0,20
420000.0,76,4,8.0,20
435000.0,76,4,5.0,20
438888.0,60,4,11.0,20
440000.0,77,4,14.0,20
400000.0,64,5,5.0,20
403888.0,77,5,11.0,20
408000.0,77,5,2.0,20
410000.0,78,5,2.0,20
411000.0,78,5,5.0,20
415000.0,78,5,14.0,20
418000.0,55,5,20.0,20
420000.0,72,5,2.0,20
425000.0,77,5,8.0,20
425000.0,76,5,2.0,20
430000.0,77,5,5.0,20
433000.0,72,5,8.0,20
435000.0,71,5,11.0,20
440000.0,84,5,14.0,20
448000.0,73,5,2.0,20
450000.0,60,5,11.0,20
450000.0,78,5,14.0,20
451000.0,76,5,5.0,20
455000.0,78,5,8.0,20
455000.0,66,5,2.0,20
458000.0,69,5,8.0,20
460000.0,76,5,2.0,20
460000.0,74,5,8.0,20
465000.0,60,5,11.0,20
465000.0,76,5,17.0,20
470000.0,84,5,5.0,20
470000.0,84,5,5.0,20
478000.0,78,5,14.0,20
480000.0,77,5,11.0,20
483000.0,77,5,8.0,20
500000.0,84,5,8.0,20
508000.0,73,5,8.0,20
508000.0,71,5,14.0,20
508000.0,77,5,5.0,20
518000.0,77,5,11.0,20
525000.0,84,5,14.0,20
526000.0,73,5,14.0,20
555000.0,58,5,23.0,20
580000.0,74,5,8.0,20
265000.0,47,3,2.0,20
310000.0,55,3,2.0,20
313000.0,50,3,8.0,20
315000.0,50,3,17.0,15
320000.0,45,3,5.0,20
325000.0,57,3,11.0,20
360000.0,55,3,5.0,20
360000.0,50,3,11.0,20
361000.0,55,3,14.0,20
370000.0,45,3,5.0,20
370000.0,62,3,5.0,20
381000.0,52,3,5.0,20
388000.0,55,3,5.0,20
415000.0,52,3,8.0,20
425000.0,48,3,5.0,20
760000.0,48,3,2.0,20
380000.0,50,4,2.0,20
398000.0,50,4,2.0,20
410000.0,50,4,17.0,20
440000.0,61,4,5.0,20
443000.0,50,4,17.0,20
465000.0,57,4,5.0,20
465000.0,60,4,2.0,20
472000.0,77,4,8.0,20
490000.0,80,4,14.0,20
530000.0,72,4,2.0,20
533000.0,62,4,5.0,20
558000.0,80,4,2.0,20
575000.0,63,4,14.0,20
620000.0,80,4,8.0,20
648000.0,82,4,11.0,20
650000.0,88,4,11.0,20
675000.0,88,4,26.0,20
680000.0,80,4,23.0,20
681000.0,57,5,23.0,20
688000.0,71,5,14.0,20
695000.0,57,5,23.0,20
700000.0,57,5,14.0,20
730000.0,76,5,20.0,20
760000.0,60,5,11.0,20
375000.0,51,3,5.0,20
800000.0,53,5,11.0,20
888000.0,51,5,23.0,20
290000.0,57,3,2.0,20
390000.0,69,4,5.0,20
392000.0,71,4,8.0,20
395000.0,65,4,8.0,20
400000.0,72,4,2.0,20
405000.0,65,4,5.0,20
405000.0,72,4,5.0,20
410000.0,71,4,8.0,20
410000.0,69,4,8.0,20
412000.0,72,4,2.0,20
413000.0,68,4,2.0,20
415000.0,69,4,5.0,20
418000.0,65,4,5.0,20
420000.0,69,4,11.0,20
425000.0,65,4,2.0,20
425000.0,72,4,8.0,20
430000.0,65,4,11.0,20
430000.0,69,4,5.0,20
430000.0,71,4,5.0,20
437000.0,72,4,11.0,20
443888.0,69,4,11.0,20
453000.0,72,5,2.0,20
455000.0,69,5,8.0,20
460000.0,69,5,11.0,20
470000.0,69,5,11.0,20
480000.0,69,5,5.0,20
480000.0,72,5,8.0,20
485500.0,72,5,2.0,20
490000.0,72,5,8.0,20
490000.0,65,5,11.0,20
500000.0,69,5,2.0,20
506800.0,69,5,11.0,20
510000.0,72,5,5.0,20
512000.0,69,5,11.0,20
520000.0,72,5,11.0,20
523000.0,72,5,11.0,20
535000.0,69,5,8.0,20
